,datenumber,datestr,Week,inflation,chime,varo,mobilebank
123,2021-11-18,2021-11-18,11/21/2021,30.0,6.428571428571429,1.2857142857142858,11.428571428571429
122,2021-11-17,2021-11-17,11/21/2021,30.0,6.428571428571429,1.2857142857142858,11.428571428571429
121,2021-11-16,2021-11-16,11/21/2021,30.0,6.428571428571429,1.2857142857142858,11.428571428571429
120,2021-11-15,2021-11-15,11/21/2021,30.0,6.428571428571429,1.2857142857142858,11.428571428571429
119,2021-11-14,2021-11-14,11/14/2021,45.0,6.571428571428571,1.4285714285714286,13.428571428571429
118,2021-11-13,2021-11-13,11/14/2021,45.0,6.571428571428571,1.4285714285714286,13.428571428571429
117,2021-11-12,2021-11-12,11/14/2021,45.0,6.571428571428571,1.4285714285714286,13.428571428571429
116,2021-11-11,2021-11-11,11/14/2021,45.0,6.571428571428571,1.4285714285714286,13.428571428571429
115,2021-11-10,2021-11-10,11/14/2021,45.0,6.571428571428571,1.4285714285714286,13.428571428571429
114,2021-11-09,2021-11-09,11/14/2021,45.0,6.571428571428571,1.4285714285714286,13.428571428571429
113,2021-11-08,2021-11-08,11/14/2021,45.0,6.571428571428571,1.4285714285714286,13.428571428571429
112,2021-11-07,2021-11-07,11/7/2021,60.0,6.857142857142857,1.2857142857142858,13.142857142857142
111,2021-11-06,2021-11-06,11/7/2021,60.0,6.857142857142857,1.2857142857142858,13.142857142857142
110,2021-11-05,2021-11-05,11/7/2021,60.0,6.857142857142857,1.2857142857142858,13.142857142857142
109,2021-11-04,2021-11-04,11/7/2021,60.0,6.857142857142857,1.2857142857142858,13.142857142857142
108,2021-11-03,2021-11-03,11/7/2021,60.0,6.857142857142857,1.2857142857142858,13.142857142857142
107,2021-11-02,2021-11-02,11/7/2021,60.0,6.857142857142857,1.2857142857142858,13.142857142857142
106,2021-11-01,2021-11-01,11/7/2021,60.0,6.857142857142857,1.2857142857142858,13.142857142857142
105,2021-10-31,2021-10-31,10/31/2021,29.0,6.571428571428571,1.4285714285714286,12.857142857142858
104,2021-10-30,2021-10-30,10/31/2021,29.0,6.571428571428571,1.4285714285714286,12.857142857142858
103,2021-10-29,2021-10-29,10/31/2021,29.0,6.571428571428571,1.4285714285714286,12.857142857142858
102,2021-10-28,2021-10-28,10/31/2021,29.0,6.571428571428571,1.4285714285714286,12.857142857142858
101,2021-10-27,2021-10-27,10/31/2021,29.0,6.571428571428571,1.4285714285714286,12.857142857142858
100,2021-10-26,2021-10-26,10/31/2021,29.0,6.571428571428571,1.4285714285714286,12.857142857142858
99,2021-10-25,2021-10-25,10/31/2021,29.0,6.571428571428571,1.4285714285714286,12.857142857142858
98,2021-10-24,2021-10-24,10/24/2021,34.0,6.571428571428571,1.4285714285714286,13.142857142857142
97,2021-10-23,2021-10-23,10/24/2021,34.0,6.571428571428571,1.4285714285714286,13.142857142857142
96,2021-10-22,2021-10-22,10/24/2021,34.0,6.571428571428571,1.4285714285714286,13.142857142857142
95,2021-10-21,2021-10-21,10/24/2021,34.0,6.571428571428571,1.4285714285714286,13.142857142857142
94,2021-10-20,2021-10-20,10/24/2021,34.0,6.571428571428571,1.4285714285714286,13.142857142857142
93,2021-10-19,2021-10-19,10/24/2021,34.0,6.571428571428571,1.4285714285714286,13.142857142857142
92,2021-10-18,2021-10-18,10/24/2021,34.0,6.571428571428571,1.4285714285714286,13.142857142857142
91,2021-10-17,2021-10-17,10/17/2021,31.0,6.428571428571429,1.2857142857142858,12.142857142857142
90,2021-10-16,2021-10-16,10/17/2021,31.0,6.428571428571429,1.2857142857142858,12.142857142857142
89,2021-10-15,2021-10-15,10/17/2021,31.0,6.428571428571429,1.2857142857142858,12.142857142857142
88,2021-10-14,2021-10-14,10/17/2021,31.0,6.428571428571429,1.2857142857142858,12.142857142857142
87,2021-10-13,2021-10-13,10/17/2021,31.0,6.428571428571429,1.2857142857142858,12.142857142857142
